"url","title","title_link","published date","published date_link","images","images_alt","images_link"
"https://www.nur.kz/daynews/","""Насилие над людьми недопустимо"": Абаев о массовой драке на Тенгизе","https://www.nur.kz/1803247-nasilie-nad-ludmi-nedopustimo-abaev-o-massovoj-drake-na-tengize.html","","","https://netstorage-nur.akamaized.net/images/b792e3e1a63376be_b.png?impolicy=common-image&imwidth=272","""Насилие над людьми недопустимо"": Абаев о массовой драке на Тенгизе","https://www.nur.kz/1803247-nasilie-nad-ludmi-nedopustimo-abaev-o-massovoj-drake-na-tengize.html"
"https://www.nur.kz/daynews/","Вакансии в сфере красоты и спорта до 500 тыс. тенге на rabotanur.kz","https://www.nur.kz/1803253-vakansii-v-sfere-krasoty-i-sporta-do-500-tys-tenge-na-rabotanurkz.html","","","https://netstorage-nur.akamaized.net/images/7ad12eb28a177a12.jpg?impolicy=common-image&imwidth=272","Вакансии в сфере красоты и спорта до 500 тыс. тенге на rabotanur.kz","https://www.nur.kz/1803253-vakansii-v-sfere-krasoty-i-sporta-do-500-tys-tenge-na-rabotanurkz.html"
"https://www.nur.kz/daynews/","""Прошу оказать содействие"": Кульгинов обратился к астанчанам","https://www.nur.kz/1803239-prosu-okazat-sodejstvie-kulginov-obratilsa-k-astancanam.html","","","https://netstorage-nur.akamaized.net/images/7aaaa4ad5dab8846.jpg?impolicy=common-image&imwidth=272","""Прошу оказать содействие"": Кульгинов обратился к астанчанам","https://www.nur.kz/1803239-prosu-okazat-sodejstvie-kulginov-obratilsa-k-astancanam.html"
"https://www.nur.kz/daynews/","«Я не против токал»: жительница Уральска рассказала о жизни с верующим","https://www.nur.kz/1803049-a-ne-protiv-tokal-zitelnica-uralska-rasskazala-o-zizni-s-veruusim.html","","","https://netstorage-nur.akamaized.net/images/b407006ec2b73fea.jpeg?impolicy=common-image&imwidth=272","«Я не против токал»: жительница Уральска рассказала о жизни с верующим","https://www.nur.kz/1803049-a-ne-protiv-tokal-zitelnica-uralska-rasskazala-o-zizni-s-veruusim.html"
"https://www.nur.kz/daynews/","Покупку мебели за 7 млн тенге объяснили в Минтруда (фото)","https://www.nur.kz/1803215-pokupku-mebeli-za-7-mln-tenge-obasnili-v-mintruda-foto.html","","","https://netstorage-nur.akamaized.net/images/6e66bae0f3b245d2.jpg?impolicy=common-image&imwidth=272","Покупку мебели за 7 млн тенге объяснили в Минтруда (фото)","https://www.nur.kz/1803215-pokupku-mebeli-za-7-mln-tenge-obasnili-v-mintruda-foto.html"
"https://www.nur.kz/daynews/","«Болды, не хочу, не трогайте»: глава Нацбанка Досаев сбежал от журналистов (видео)","https://www.nur.kz/1803211-boldy-ne-hocu-ne-trogajte-glava-nacbanka-dosaev-sbezal-ot-zurnalistov-video.html","","","https://netstorage-nur.akamaized.net/images/f73e5adc0fa78526.jpg?impolicy=common-image&imwidth=272","«Болды, не хочу, не трогайте»: глава Нацбанка Досаев сбежал от журналистов (видео)","https://www.nur.kz/1803211-boldy-ne-hocu-ne-trogajte-glava-nacbanka-dosaev-sbezal-ot-zurnalistov-video.html"
"https://www.nur.kz/daynews/","Авиакомпания скрыла аварийную посадку Ан-2 в Кызылординской области (видео)","https://www.nur.kz/1803206-aviakompania-skryla-avarijnuu-posadku-an-2-v-kyzylordinskoj-oblasti.html","","","https://netstorage-nur.akamaized.net/images/8f127dd6633615d4.png?impolicy=common-image&imwidth=272","Авиакомпания скрыла аварийную посадку Ан-2 в Кызылординской области (видео)","https://www.nur.kz/1803206-aviakompania-skryla-avarijnuu-posadku-an-2-v-kyzylordinskoj-oblasti.html"
"https://www.nur.kz/daynews/","Генпрокуратура: Дестабилизировать ситуацию пытаются в Казахстане","https://www.nur.kz/1803203-genprokuratura-destabilizirovat-situaciu-pytautsa-v-kazahstane.html","","","https://netstorage-nur.akamaized.net/images/954f0362731ce684.jpg?impolicy=common-image&imwidth=272","Генпрокуратура: Дестабилизировать ситуацию пытаются в Казахстане","https://www.nur.kz/1803203-genprokuratura-destabilizirovat-situaciu-pytautsa-v-kazahstane.html"
"https://www.nur.kz/daynews/","ЦАРКА: Личные данные 11 млн казахстанцев находились в свободном доступе","https://www.nur.kz/1803148-carka-licnye-dannye-11-mln-kazahstancev-nahodilis-v-svobodnom-dostupe.html","","","https://netstorage-nur.akamaized.net/images/8d4bdc09c7a00df7.jpg?impolicy=common-image&imwidth=272","ЦАРКА: Личные данные 11 млн казахстанцев находились в свободном доступе","https://www.nur.kz/1803148-carka-licnye-dannye-11-mln-kazahstancev-nahodilis-v-svobodnom-dostupe.html"
"https://www.nur.kz/daynews/","""Мне сейчас не до кресел"": аким Нур-Султана о покупке новой мебели в рабочий кабинет","https://www.nur.kz/1803191-mne-sejcas-ne-do-kresel-akim-nur-sultana-o-pokupke-novoj-mebeli-v-rabocij-kabinet.html","","","https://netstorage-nur.akamaized.net/images/23f5787f1f1f4875.jpg?impolicy=common-image&imwidth=272","""Мне сейчас не до кресел"": аким Нур-Султана о покупке новой мебели в рабочий кабинет","https://www.nur.kz/1803191-mne-sejcas-ne-do-kresel-akim-nur-sultana-o-pokupke-novoj-mebeli-v-rabocij-kabinet.html"
